Index,Symbol,Name,EgeriaScore,PortfolioWeight,YearlyReturn5YrAvg,P/E Ratio Norm,Price/Sales Norm,Beta Norm,Quick Ratio Norm,Debt/Equity Norm,EBIDTA Margin Norm,5 Year STD Norm,10 Year STD Norm,EBIDTA Avg Growth Rate Norm,Revenue Avg Growth Rate Norm,5 Year Return Norm,10 Year Return Norm
052,BAH,"unkown",15.332,0.0,37.91,-2.1024570753898266,-0.18479682396003624,1.3311621394726674,0.29797570338008317,1.887930669494618,-1.1299265873227282,-0.9444844020420478,-0.8821891618400661,-3,-1.5053476346568648,3,3
053,FAST,"unkown",14.783,0.0,36.11,-1.2236636548503308,-3,-1.151084004528542,1.9585664600030244,1.9933462732919256,0.32757564620850166,-0.9038202708333714,-0.4777058316211411,-1.084595323655445,-1.1456420383984458,3,2.0562699269417535
054,NEE,"unkown",14.762,0.0,6.83,0.7533128668292289,-3,1.5280825891489471,-1.375603476021886,1.9495571753602428,3,-1.700516851467837,-0.5037808973149547,2.9512833503885574,0.4515429462470344,-0.634828109317553,1.2306294919152492
055,WST,"unkown",14.733,0.0,50.66,-1.9207744927196726,-3,-1.0568792679976946,2.066388806192319,1.9934154807358555,0.8622279476574685,-3,-2.0334812404806515,1.4037302158705884,-0.5983824445052353,3,3
056,NDAQ,"unkown",14.615,0.0,26.31,-0.3347188830872384,-3,-0.646488827750813,-1.6520775623268698,1.9603051035502959,1.29320580474934,-0.6633603731644975,-0.2566854228540807,-0.5347327505399839,-2.479038201831515,3,3
057,CHDN,"unkown",14.109,0.0,31.24,0.3685997793336768,-3,-1.0840757392944844,-1.3014024874305372,1.864326320501343,2.0841694763781127,-3,-3,3,3,3,3
058,TTEK,"unkown",13.964,0.0,45.86,-1.765863803533786,-0.5639048273064865,-0.7247983252598733,0.09731637506187196,1.9655563037209474,-1.0145842754566878,-2.37199558612782,-1.6234663146646122,2.9864115009980012,0.02715409833920255,3,3
059,HSY,"unkown",13.93,0.0,18.69,0.25975527314613134,-3,2.294161993379519,-1.18525558179362,1.9619239264558002,0.4659130969372838,0.22799568492912226,0.3266786046714003,-0.552702170926436,-0.7747827641011285,1.7377616038578714,-0.25173629614806525
060,CB,"unkown",13.811,0.0,21.06,1.1927022719716185,-0.5386339274495413,0.8355416086049378,,1.9438751743492362,,-1.4975114893710568,-0.3727137492444541,,-0.7043409713446916,2.2127755003003733,0.8478393134430333
061,SPGI,"unkown",13.522,0.0,25.37,-2.5514820626316164,-3,-1.7236078488664919,-0.6475102040816327,1.986848538011696,2.1193886532767863,-1.2015367765163116,-0.8219629175919039,-0.609391177558291,0.8678910424958588,3,3
062,BWXT,"unkown",13.347,0.0,25.11,-1.3214821514979689,-3,0.38681697912425317,2.0028209872922256,1.9611343642423913,-0.20934828180325438,-2.109171530942662,-1.0187172363079275,-2.9638127809682584,-1.87022317180567,3,3
063,RNR,"unkown",13.33,0.0,12.64,1.8221750419574019,0.9009131931769195,2.4788180049285224,,1.9292406883245805,,-1.9822649900967804,-0.6575963193233898,,2.205649138664414,0.5278331569439928,0.10881786837387684
064,UFPI,"unkown",13.267,0.0,60.53,0.9160391780578404,1.3715516778765902,-3,3,1.9935489727348277,-0.8695904789770121,-3,-3,3,0.6009973548018337,3,3
065,PG,"unkown",13.252,0.0,16.49,-0.24056492806939736,-3,1.9069560873712783,-1.2327441548271618,1.968461423349082,0.6896453123324553,0.975279362129573,1.1994668159729018,-2.1613447355429987,-2.006793475328311,1.2985508393852485,0.2920216546927376
066,HUBB,"unkown",13.148,0.0,51.07,-0.327223634040665,-3,-0.6406268726399972,-0.2860813057276712,1.97202155022593,0.17703660965214307,-1.5303293221349135,-1.0035812967452227,1.6978534577565974,-0.3029929882415196,3,1.9824607513275843
067,SSD,"unkown",13.142,0.0,53.74,-0.1206323373295564,-3,-2.496266671981031,1.9517407275153147,1.9877960358292264,0.48928089388220436,-3,-1.867205020305728,2.1686739659850502,1.2133928233571232,3,3
068,STLD,"unkown",13.12,0.0,62.98,1.4346799102934384,1.1570759490682039,-3,1.1989112874180634,1.9863107666399074,-0.013743956206961339,-3,-3,3,3,3,3
069,EG,"unkown",12.999,0.0,17.46,1.653836422256357,1.2164767526905067,1.246558031139695,,1.945164369034995,,-2.059434480640131,-0.47470028150606947,,0.05829510385587646,1.4920182975886576,0.7070671707948054
070,RMD,"unkown",12.736,0.0,18.15,-0.6505749940888396,-3,0.7743928352978974,0.4594842940254411,1.9873033095450428,1.1749657032950367,-2.462968775798408,-1.5407794657966267,-0.818563046039295,-0.46267277781140664,1.6306274785852855,3
071,INTU,"unkown",12.4,0.0,33.8,-3,-3,-2.117745635597259,0.5240105540897098,1.9878267415600208,0.9077779250033124,-2.1750371250358516,-0.6730700642539134,0.7235876782861268,1.6971411942145338,3,3
072,ETN,"unkown",12.237,0.0,62.76,-1.1985785418874122,-3,-1.3511181220944346,-0.17116303085065177,1.9796564404286616,0.1145887221934816,-1.842966382696682,-1.1627687125919142,2.120144053799528,-1.1723189670240692,3,3
073,BR,"unkown",12.136,0.0,24.64,-1.041950397487943,-3,-0.898881168647746,-0.9771457169071649,1.9465089708113898,0.10495506897861023,-1.0477215183834776,-0.2221694564373733,-0.22900503514423853,-0.9500875940746919,2.928729264341406,3
074,AIT,"unkown",12.086,0.0,48.87,0.4427589365917524,0.24179094273173068,-1.3895020185984985,1.8954110714655847,1.9823798353991293,-0.7727750450985446,-3,-1.9264326849720756,1.6972636742314229,-0.7824849210648829,3,2.448535884690602
075,KLAC,"unkown",12.065,0.0,108.77,-1.0186855551539802,-3,-2.6565989093956364,0.7324995284332068,1.9236058392610607,1.9570210269901223,-3,-2.475794564917802,2.902805379718923,1.4160661600675,3,3
076,MATX,"unkown",12.056,0.0,42.08,1.0810890849253618,1.0325901780032067,-1.6490724541773227,-0.015650008892050593,1.9842221018869497,0.17023201706197894,-3,-3,3,0.10642156019776969,3,3
077,LECO,"unkown",11.987,0.0,45.33,-0.2613988405016593,-3,-2.0222727706458588,0.47178542558407655,1.9683929886648759,-0.04864735392099889,-1.4026097563450515,-1.1491185311244045,2.4765709550466015,0.3023858607240406,3,2.1326748206506045
078,MRK,"unkown",11.787,0.0,17.3,-3,-3,2.113811078840305,-0.6423289483926209,1.9632580293233284,-0.8510164021692119,0.06927938924217791,0.2714920605133866,0.13532446464453612,-0.30449321413566716,1.4604639437116622,0.763735641931626
079,VRSK,"unkown",11.748,0.0,18.39,-2.9274864212977416,-3,0.11404468947271873,-0.2877884366087633,1.7391032258064516,3,-0.6414672079517576,-0.105573099682017,-2.0467134356288197,-1.8470177313848974,1.677279229648637,1.7692237316157677
080,WTS,"unkown",11.739,0.0,32.89,-0.17681475108958208,-2.903667302125048,-0.6422719997063886,1.0059142434696895,1.989478622877156,-0.04989544327189621,-1.8978661632336458,-1.2189084961848096,0.9900348272076804,-0.7854315452656643,3,1.6743774501114566
081,RUSHB,"unkown",11.536,0.0,38.81,1.143658067643712,2.2983838673066566,-0.7100986562071837,-1.4704173165761274,1.9735544094513862,-1.0703561276281308,-3,-2.4272411119074526,3,0.8914183627925958,3,3
082,J,"unkown",11.436,0.0,21.18,-0.21777858650628154,1.194702561085544,0.3763398767954568,0.6210711803237401,1.9774402693462791,-1.184992901621142,-0.5293698279828716,-1.2493912923352681,2.539230571341931,-1.7103075098275415,2.2358319738561283,-0.07108316738588011
083,NOC,"unkown",11.428,0.0,15.69,-0.8881503098429169,-0.015365327149496075,2.3141697378042188,-0.28236476302126956,1.9570814464346062,-0.9236446933061849,-0.7367960423319548,-0.42051742626783906,-3,-2.540722581968974,1.1372246020508816,2.5606748778006043
084,IEX,"unkown",11.42,0.0,14.46,-0.568432732889105,-3,-0.757859117430934,1.8460923445932442,1.9868752470774271,0.9448058890008859,-0.3513281501775465,-0.611891878830991,-0.21783755765752416,-0.6301032081954098,0.8916273005905129,1.5155736554725763
085,ROP,"unkown",11.37,0.0,14.75,-1.6924588286520137,-3,-0.9417070260642302,-1.191212203023758,1.9877067091626157,2.3105960050503414,-0.7248918159831632,-0.07873614021703457,0.9073991022386402,0.0870852053223885,0.9495197406296398,2.3016018226449018
086,MGRC,"unkown",11.364,0.0,24.42,0.6552394927757411,-3,0.05421267886446479,-0.36354771985043977,1.9725106393004086,1.5992051375140952,-2.5302204414188934,-1.8258794883752056,-1.2840864960538365,-0.12413199017798426,2.884123119181533,2.5160269375081814
087,AIZ,"unkown",11.306,0.0,18.99,0.8634950493243884,1.669406305982091,1.4707524656578252,,1.8801301590601935,,-1.742435082455919,-1.5037569321784519,,-1.9822549139117533,1.7984739627847302,0.914240939134484
088,BCC,"unkown",11.149,0.0,89.78,1.25940163951056,1.8710944762057589,-3,2.454601458301073,1.9884956714688586,-0.8213949631813428,-3,-3,3,-0.8584663925816223,3,3
089,KR,"unkown",11.132,0.0,30.61,0.24114230949235374,2.7508260092858876,1.719670107841389,-1.4922844877596009,1.9211133240390361,-1.5470138094819246,-0.6860827753688881,-1.1424720553840135,-0.6149390114150926,-1.8411417642051942,3,0.7734275591472427
090,APH,"unkown",11.104,0.0,29.42,-0.9285413395594538,-3,-2.4919976666197905,0.7142449329146445,1.9805909063679386,0.3900403039523362,-1.7633522771466792,-0.43026927276134863,0.2534756634242271,-0.19977356401335378,3,3
091,ED,"unkown",11.099,0.0,5.71,1.0978930150276123,-0.6674043444662681,2.2709720612000464,-0.45961002785515315,1.9572993666698175,2.130805428629884,0.26823701335520145,0.5185211013265913,-1.9271705604856888,-1.677914884453385,-0.858016712673587,-0.1849545834344091
092,SCI,"unkown",11.006,0.0,21.56,0.2794179516604108,-1.8817609474947437,-0.06804683018384661,-0.8207742624482712,1.8077691167768792,1.0716175363641638,-1.8571302941520011,-0.39662628279972356,-1.7041239440404319,-1.8707287322283002,2.3129279593947576,2.8252191723951485
093,SYK,"unkown",10.931,0.0,20.0,-1.7785176737899555,-3,-0.5084850724929618,-0.27850018937002896,1.9770677136556767,0.40706410381500635,-1.8651833035403609,-0.4984072674664324,0.4751891037586489,-0.4562709349539841,2.0000770898841616,3
094,SNA,"unkown",10.756,0.0,19.94,0.7861541084142523,-2.498948144163846,-0.8846342280801939,3,1.9903318675684736,0.8917643834543781,-2.4372366244756556,-0.7075621461891508,-0.035042384373106826,-1.1699342284793282,1.988779534955159,0.7675994936794981
095,ELV,"unkown",10.243,0.0,16.21,0.41040400362465224,1.9801386750274368,0.051254396457471874,,1.9646247392255634,,-2.9308539596939083,-1.289842215667747,,-0.5913215717591769,1.242983839398828,3
096,DHI,"unkown",10.094,0.0,57.25,1.2324232368862678,0.6018823076756328,-3,1.3133017450595168,1.9916774614252606,-0.2924697663414838,-3,-3,3,1.2135098089643848,3,3
097,PEP,"unkown",9.993,0.0,12.2,-0.05695203853171805,-1.2994017981509123,1.3620619540837524,-0.6843618668436187,1.9115192131005783,-0.2777055022903435,1.0235397996555142,1.0611390655017825,-1.3738917165195677,-1.1654752183472912,0.44098315657990556,0.21499858436411576
